generation	population_size	num_mutations	nucleotide_diversity	theta_watterson	beneficial_freq
396	10000	1	0.000002	0.102171	0.000000
397	10000	1	0.000004	0.102171	0.000000
398	10000	1	0.000003	0.102171	0.000000
399	10000	1	0.000002	0.102171	0.000000
400	10000	1	0.000002	0.102171	0.000000
401	10000	1	0.000002	0.102171	0.000000
402	10000	1	0.000002	0.102171	0.000000
403	10000	1	0.000002	0.102171	0.000000
404	10000	1	0.000001	0.102171	0.000000
405	10000	1	0.000001	0.102171	0.000000
406	10000	1	0.000001	0.102171	0.000000
407	10000	1	0.000001	0.102171	0.000000
408	10000	1	0.000001	0.102171	0.000000
409	10000	1	0.000001	0.102171	0.000000
410	10000	1	0.000001	0.102171	0.000000
411	10000	1	0.000001	0.102171	0.000000
412	10000	1	0.000000	0.102171	0.000000
413	10000	1	0.000001	0.102171	0.000000
414	10000	1	0.000000	0.102171	0.000000
415	10000	1	0.000001	0.102171	0.000000
416	10000	1	0.000001	0.102171	0.000000
417	10000	1	0.000000	0.102171	0.000000
418	10000	1	0.000000	0.102171	0.000000
419	10000	1	0.000000	0.102171	0.000000
420	10000	1	0.000000	0.102171	0.000000
421	10000	1	0.000000	0.102171	0.000000
422	10000	1	0.000001	0.102171	0.000000
423	10000	1	0.000002	0.102171	0.000000
424	10000	1	0.000002	0.102171	0.000000
425	10000	1	0.000003	0.102171	0.000000
426	10000	1	0.000002	0.102171	0.000000
427	10000	1	0.000003	0.102171	0.000000
428	10000	1	0.000003	0.102171	0.000000
429	10000	1	0.000003	0.102171	0.000000
430	10000	1	0.000003	0.102171	0.000000
431	10000	1	0.000003	0.102171	0.000000
432	10000	1	0.000004	0.102171	0.000000
433	10000	1	0.000002	0.102171	0.000000
434	10000	1	0.000002	0.102171	0.000000
435	10000	1	0.000002	0.102171	0.000000
436	10000	1	0.000002	0.102171	0.000000
437	10000	1	0.000002	0.102171	0.000000
438	10000	1	0.000002	0.102171	0.000000
439	10000	1	0.000001	0.102171	0.000000
440	10000	1	0.000001	0.102171	0.000000
441	10000	1	0.000001	0.102171	0.000000
442	10000	1	0.000000	0.102171	0.000000
443	10000	1	0.000000	0.102171	0.000000
444	10000	1	0.000000	0.102171	0.000000
445	10000	1	0.000001	0.102171	0.000000
446	10000	1	0.000001	0.102171	0.000000
447	10000	1	0.000001	0.102171	0.000000
448	10000	1	0.000001	0.102171	0.000000
449	10000	1	0.000001	0.102171	0.000000
450	10000	1	0.000000	0.102171	0.000000
451	10000	1	0.000000	0.102171	0.000000
452	10000	0	0.000000	0.000000	0.000000
453	10000	0	0.000000	0.000000	0.000000
454	10000	1	0.000001	0.102171	0.000000
455	10000	1	0.000000	0.102171	0.000000
456	10000	1	0.000000	0.102171	0.000000
457	10000	1	0.000000	0.102171	0.000000
458	10000	1	0.000000	0.102171	0.000000
459	10000	1	0.000001	0.102171	0.000000
460	10000	1	0.000001	0.102171	0.000000
461	10000	1	0.000002	0.102171	0.000000
462	10000	1	0.000002	0.102171	0.000000
463	10000	1	0.000003	0.102171	0.000000
464	10000	1	0.000003	0.102171	0.000000
465	10000	1	0.000002	0.102171	0.000000
466	10000	1	0.000002	0.102171	0.000000
467	10000	1	0.000003	0.102171	0.000000
468	10000	2	0.000002	0.204342	0.000000
469	10000	1	0.000005	0.102171	0.000000
470	10000	1	0.000004	0.102171	0.000000
471	10000	1	0.000003	0.102171	0.000000
472	10000	1	0.000003	0.102171	0.000000
473	10000	1	0.000004	0.102171	0.000000
474	10000	1	0.000003	0.102171	0.000000
475	10000	1	0.000005	0.102171	0.000000
476	10000	1	0.000006	0.102171	0.000000
477	10000	1	0.000006	0.102171	0.000000
478	10000	1	0.000006	0.102171	0.000000
479	10000	1	0.000006	0.102171	0.000000
480	10000	1	0.000006	0.102171	0.000000
481	10000	1	0.000006	0.102171	0.000000
482	10000	1	0.000006	0.102171	0.000000
483	10000	1	0.000006	0.102171	0.000000
484	10000	1	0.000007	0.102171	0.000000
485	10000	1	0.000008	0.102171	0.000000
486	10000	1	0.000008	0.102171	0.000000
487	10000	1	0.000008	0.102171	0.000000
488	10000	1	0.000009	0.102171	0.000000
489	10000	2	0.000009	0.204342	0.000000
490	10000	2	0.000010	0.204342	0.000000
491	10000	2	0.000010	0.204342	0.000000
492	10000	2	0.000012	0.204342	0.000000
493	10000	2	0.000011	0.204342	0.000000
494	10000	2	0.000009	0.204342	0.000000
495	10000	2	0.000010	0.204342	0.000000
496	10000	2	0.000009	0.204342	0.000000
497	10000	1	0.000009	0.102171	0.000000
498	10000	1	0.000009	0.102171	0.000000
499	10000	1	0.000010	0.102171	0.000000
500	10000	1	0.000010	0.102171	0.000000
